ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,PERS_NRO,REGION,ESTRATO,LLAVE_PANEL,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C308_COD,C309_COD,C310,C311,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,whoraT,C330,C331,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C348,C347_T,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,INGTOT,INGTOTP,RESIDENT,fa_aso22
2022,09,17273,1,0024,1,4,1,1,202206172731002414,3,1,2, ,1,14,4,4,18,12,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,1,1,5,1, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , ,1,415.768890380859
2022,09,17273,1,0024,1,5,1,1,202206172731002415,3,1,2, ,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,09,17273,1,0025,1,1,1,1,202206172731002511,1,1,2, ,1,38,1,1,20,5,1984,2,1, , , , , , , , , , , , , ,7421,2819,3,5,3,51,0,0,0,0,0,0,0,48,2,48,2,2,4,3907, , , , , , , , , , , , , , ,1,1,6,5, ,2,2,2,2,2,2,10,1,1,3907, , , , , , , ,3907,3907,1,483.508941650391
2022,09,17273,1,0025,1,2,1,1,202206172731002512,6,1,2, ,2,59,2,2,10,7,1963,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,5,3,3, ,2,2,2,2,2,2,10,1,4, , , , , , , , , , ,1,286.317291259766
2022,09,17273,1,0025,1,3,1,1,202206172731002513,7,1,2, ,1,32,3,3,3,1,1990,1, , , , , , , , , , , , , , ,8122,2819,3,5,2,35,0,9,9,9,9,9,0,45,1, ,2,2,4,1172, , , , , , , , , , , , , , ,1,1,6,5, ,2,2,2,2,2,2,10,7,1,1172, , , , , , , ,1172,1172,1,161.753295898438
2022,09,17273,1,0025,1,4,1,1,202206172731002514,7,1,2, ,1,25,4,4,21,6,1997,1, , , , , , , , , , , , , , ,8343,9603,3,5,4,200,8,8,0,8,8,8,8,48,1, ,2,2,4,1557, , , , , , , , , , , , , , ,1,1,6,5, ,2,2,2,2,2,2,10,7,1,1557, , , , , , , ,1557,1557,1,616.041320800781
2022,09,17273,1,0025,1,5,1,1,202206172731002515,7,1,2, ,2,22,5,5,7,10,1999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,7,1,1,6,9,3, ,2,2,2,2,2,2,10,1,2, , , , , , , , , , ,1,724.099609375
2022,09,17273,1,0027,1,1,1,1,202206172731002711,1,1,2, ,1,33,1,1,5,10,1988,1, , , , , , , , , , , , , , ,9313,4100,3,5,1,10,0,9,9,9,9,9,5,50,1, ,2,2,4,1436, , , , , , , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,10,1,1,1436, , , , , , , ,1436,1436,1,388.934783935547
2022,09,17273,1,0027,1,2,1,1,202206172731002712,2,1,2, ,2,34,2,2,25,2,1988,1, , , , , , , , , , , , , , ,5312,8521,3,2,5,9998,0,6,6,6,6,6,0,35,2,30,2,2,4,1292, , , , ,280, , , , , , , , , ,1,1,8,4, ,2,2,2,2,2,2,10,7,1,1292, , , , ,280, , ,1572,1292,1,472.117065429688
2022,09,17273,1,0027,1,3,1,1,202206172731002713,3,1,2, ,1,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
