pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p20411,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_mjj22
2022,05,017399,005,0106,11,04,8,1,21051104,3,1,2, ,1,14,5,2, ,4,4,24,4,2022,30,4,2022,22,11,2007,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , ,0, ,2,6,0,0,0,0,0,0,1,5,4,4, , , , , , , , ,1,219.410608840515
2022,05,017512,005,0113,11,01,8,1,21051101,1,1,2, ,2,31,7,2, ,1,1,15,5,2022,21,5,2022,6,6,1990,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, ,0, ,1,6,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,536.920615610161
2022,05,017512,005,0113,11,02,8,1,21051102,2,1,2, ,1,40,6,5, ,2,2,15,5,2022,21,5,2022,11,11,1981,1, , , , , , , , , , , , , , ,851,4100,4,5,1,6,2,5,2022,0,9,9,9,9,9,9,54,1, ,2,2,1,80,18, , ,650,0,0, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,2000,450, , ,650,0,3100,2450,1,557.273397193237
2022,05,017512,005,0113,11,03,8,1,21051105,3,1,2, ,1,12,4, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017512,005,0113,11,04,8,1,21051106,3,1,2, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017512,005,0113,11,05,8,1,21051103,5,1,2, ,2,54,7,1, ,5,5,15,5,2022,21,5,2022,2,4,1968,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,9,1,2, ,0, ,1,6,0,0,0,0,0,0,1,5,4,4, , , , , , , , ,1,395.497852008035
2022,05,017512,005,0114,11,01,8,1,21051201,1,1,2, ,1,40,6,5, ,1,1,15,5,2022,21,5,2022,19,8,1981,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,3,3,1,6,0,0,0,0,0,0,1,1,4,2, , , , , , , , ,1,557.273397193237
2022,05,017512,005,0114,11,02,8,1,21051202,2,1,2, ,2,39,6,5, ,2,2,15,5,2022,21,5,2022,14,4,1983,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, ,0, ,1,6,0,0,0,0,0,0,1,1,4,4, , , , , , , , ,1,536.920615610161
2022,05,017512,005,0114,11,03,8,1,21051203,3,1,2, ,1,14,5,2, ,3,3,15,5,2022,21,5,2022,29,5,2007,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , ,0, ,2,6,0,0,0,0,0,0,1,7,4,4, , , , , , , , ,1,498.660474637535
2022,05,017512,005,0114,11,04,8,1,21051204,3,1,2, ,2,8,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017512,005,0114,11,05,8,1,22051105,3,1,2, ,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
