pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p20411,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_fma22
2022,02,017320,003,0111,11,01,8,1,22021101,1,1,2, ,2,30,5,3, ,1,1,6,2,2022,12,2,2022,3,1,1992,1, , , , , , , , , , , , , , ,775,1392,4,5,1,5,1,12,2021,0,8,0,0,0,0,0,8,1, ,1,1,2,50,0, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,217,0, , , , ,217,217,1,375.612794541279
2022,02,017320,003,0111,11,02,8,1,22021102,2,1,2, ,1,34,6,5, ,2,2,6,2,2022,12,2,2022,28,6,1987,1, , , , , , , , , , , , , , ,945,4630,4,5,1,10,15,12,2021,5,5,5,5,5,5,5,35,1, ,1,2,1,60,0, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,1500,0, , , , ,1500,1500,1,388.836781889542
2022,02,017320,003,0111,11,03,8,1,22021103,3,1,2, ,1,10,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017320,003,0111,11,04,8,1,22021104,3,1,2, ,1,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017320,003,0112,11,01,8,1,22021101,1,1,2, ,1,29,6,5, ,1,1,6,2,2022,12,2,2022,29,4,1992,1, , , , , , , , , , , , , , ,945,3811,2, ,1,1,5,1,2020,0,5,0,0,5,0,5,15,1, ,1,1, , , ,325,0, , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,4,4,1, , ,325,0, , ,325,325,1,388.836781889542
2022,02,017320,003,0112,11,02,8,1,22021102,2,1,2, ,2,31,6,5, ,2,2,6,2,2022,12,2,2022,28,10,1990,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,3,2,1,6,0,0,0,0,0,0,1,1,4,2, , , , , , , , ,1,375.612794541279
2022,02,017320,003,0112,11,03,8,1,22021103,3,1,2, ,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017320,003,0112,11,04,8,1,22021104,3,1,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017320,003,0113,11,01,8,1,22021101,1,1,2, ,1,42,6,5, ,1,1,6,2,2022,12,2,2022,21,3,1979,1, , , , , , , , , , , , , , ,983,4100,4,5,1,6,5,12,2021,0,8,8,8,8,8,5,45,1, ,1,2,2,350,0, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,1516,0, , , , ,1516,1516,1,388.836781889542
2022,02,017320,003,0113,11,02,8,1,22021102,2,1,2, ,2,42,10,5, ,2,2,6,2,2022,12,2,2022,20,5,1979,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , ,0, ,1,1,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,375.612794541279
